course_id,course_name,professor_id,professor_name,student_ids,day,time,student_count,professor_busy,course_repeat,preferred_slot
C17448,Physics,P46214,Prof. Wilson,"S55854,S96282,S09943,S77601,S19837,S21408,S13252,S47567,S52407,S48766,S58362,S64978,S48572,S81063,S06376,S14829,S82092,S66513,S45847,S42081,S21281,S80298,S18999,S12644,S50651,S75799,S38966,S37912,S26905",Tuesday,16:00,26,24,33,Tuesday-11:00
C15074,Physics,P62865,Prof. Miller,"S62191,S08030,S87307,S75957,S95454,S59634,S34379,S19599,S55418,S29729,S05344,S66298,S23155,S67370,S56728,S73975,S35514,S18950,S08678,S83209",Wednesday,16:00,23,35,33,Tuesday-11:00
C21823,Chemistry,P80449,Prof. Miller,"S69879,S52311,S64974,S73873,S70440,S42747,S35211,S39252,S00878,S65582,S85744,S00215",Tuesday,12:00,19,35,21,Thursday-13:00
C95577,Math,P92752,Prof. Miller,"S06731,S51475,S27150,S61549,S77843,S37348,S85498,S24777,S58212,S85239,S54635",Monday,13:00,24,35,29,
C93859,History,P99107,Prof. Miller,"S03444,S32400,S39300,S68673,S29678,S51699,S10862,S02687,S30100,S38894,S78188,S78643,S60175,S66407,S18594",Tuesday,14:00,24,35,26,Friday-14:00
C52808,Chemistry,P60762,Prof. Brown,"S27643,S76804,S76855,S92123,S93927,S11757,S74755,S87582,S98118,S13011,S23069,S77113,S08694",Wednesday,12:00,35,29,21,Thursday-13:00
C13993,Physics,P25411,Prof. Smith,"S21850,S23625,S49197,S26514,S82749,S89801,S31916,S88760,S49924,S88298,S70100,S00958,S02200,S92337",Thursday,11:00,18,32,33,Tuesday-11:00
C68102,Math,P11336,Prof. Miller,"S69222,S55970,S78044,S20465,S98107,S15753,S88861,S03964,S78587,S04157,S49733,S27025,S27849,S07600,S66304,S87156,S01326",Monday,10:00,8,35,29,
C34916,History,P68453,Prof. Wilson,"S78692,S32504,S07530,S39613,S39569,S70979,S35394,S16896,S93116,S06099,S49514,S00898,S07698,S63213",Friday,13:00,30,24,26,Friday-14:00
C72466,Economics,P04582,Prof. Brown,"S47748,S95341,S80103,S43234,S39400,S52927,S70176,S29207,S91377,S98386,S78726,S14804,S82064,S10694,S78261,S28518,S99718,S68357,S10747,S38309,S03031,S38483,S51939,S22654,S36070,S55298",Friday,15:00,21,29,24,Tuesday-14:00
C55610,Biology,P53674,Prof. Miller,"S71635,S18473,S47697,S99884,S02279,S11398,S87116,S86425,S49278,S20371,S53392,S56012,S11235,S95114,S43181,S71116,S31730,S95901,S23687,S69965,S11626,S59958,S30462,S47453,S14672,S85389,S22009,S98842,S33663,S76061",Friday,15:00,20,35,22,Wednesday-12:00
C73672,Philosophy,P99042,Prof. Smith,"S27845,S41588,S52875,S68338,S27552,S64257,S51397,S07817,S84657,S40956,S19591,S67452,S36960,S95329,S71549,S09572,S35695,S44726,S45759,S10866,S22721,S77602,S02654,S67795,S01423,S96706,S47231,S50411,S42498,S18707",Monday,14:00,38,32,28,Friday-12:00
C69906,Biology,P58235,Prof. Wilson,"S45148,S23196,S03834,S02798,S87491,S40773,S51266,S48955,S44112,S77457,S78594,S49896,S13979,S02991,S70106,S19613,S23824,S69600,S59589,S22887",Wednesday,14:00,14,24,22,Wednesday-12:00
C03716,Chemistry,P52320,Prof. Davis,"S14476,S85458,S41182,S01033,S77354,S36149,S53116,S26230,S30648,S11345,S34251,S83466,S36090,S41990,S65280,S54217,S94688,S59573",Wednesday,11:00,34,21,21,Thursday-13:00
C80756,Math,P95030,Prof. Miller,"S33764,S01538,S74363,S39064,S13348,S08997,S06458,S38285,S14623,S29562,S98668,S90399,S51800,S32328,S09592,S64413,S94699",Friday,11:00,30,35,29,
C47921,Philosophy,P47234,Prof. Brown,"S09950,S03381,S85405,S14271,S19955,S63486,S57756,S65216,S60697,S05266,S92683,S92229,S17837,S43974,S10580",Monday,13:00,15,29,28,Friday-12:00
C44761,CS,P47096,Prof. Johnson,"S59698,S85180,S06907,S59741,S99792,S40284,S44535,S12085,S20034,S29543,S02034,S42404,S42177,S81738,S11043,S60793,S85626,S27387,S72277,S98925,S28131,S98189,S55156,S81217",Thursday,16:00,39,22,17,
C41146,Philosophy,P82868,Prof. Smith,"S11609,S24053,S78703,S93246,S53870,S97943,S90647,S52849,S56085,S63096,S05019",Tuesday,16:00,37,32,28,Friday-12:00
C43340,CS,P84250,Prof. Johnson,"S62112,S19082,S07217,S29696,S50110,S06227,S82613,S57134,S65138,S49754,S03898,S71144,S59345",Monday,15:00,40,22,17,
C30490,Philosophy,P47658,Prof. Smith,"S88310,S02632,S33558,S38871,S27858,S68637,S37119,S95186,S38662,S85603,S51376,S99557,S82036,S10744",Monday,11:00,36,32,28,Friday-12:00
C92497,Biology,P73740,Prof. Williams,"S59824,S56145,S81152,S71384,S67286,S91270,S97045,S65137,S42376,S70747,S90471,S83858,S60644,S44037,S56256,S66906,S67535,S65034,S20217,S18096,S62870,S96095,S85942",Wednesday,13:00,27,18,22,Wednesday-12:00
C90411,Physics,P69167,Prof. Wilson,"S89766,S19287,S08067,S67148,S41416,S46840,S73053,S53194,S15566,S89238,S15635,S49077,S52172,S53572,S66874,S46847,S15217,S76918,S19518,S67168",Tuesday,09:00,11,24,33,Tuesday-11:00
C15686,Physics,P34326,Prof. Williams,"S84579,S10507,S67072,S85740,S85529,S55947,S82122,S84172,S52546,S39433,S87815,S91989,S17656,S43014,S12078,S82627,S27777,S11565,S83572,S46695,S76002",Tuesday,12:00,38,18,33,Tuesday-11:00
C28866,Math,P69618,Prof. Jones,"S84487,S03830,S18154,S60377,S34487,S46031,S60940,S39404,S48808,S32524,S71784,S39740,S53581,S64357,S75752,S62732,S58751,S04722,S90268,S10977,S96508,S90391",Wednesday,11:00,22,19,29,
C79635,Chemistry,P63852,Prof. Davis,"S86083,S38546,S95679,S98175,S39606,S95221,S14783,S38216,S64330,S11285,S58653,S65279,S80183,S47701,S72024,S37558,S34965,S66100,S97308,S02080,S10820,S19375,S68360",Monday,15:00,12,21,21,Thursday-13:00
C56809,Biology,P01649,Prof. Brown,"S25459,S65872,S95880,S06956,S68457,S70195,S06585,S14545,S58880,S84866,S42412,S61888,S76833,S92067,S72797,S41505,S77348,S75514,S15028",Monday,09:00,24,29,22,Wednesday-12:00
C09957,Physics,P73572,Prof. Johnson,"S67592,S17201,S62313,S22845,S50136,S24545,S26034,S56286,S11156,S71441,S52255,S39135,S52571,S69714,S84747,S68850,S50969,S85136,S34404,S04839,S96402",Friday,13:00,20,22,33,Tuesday-11:00
C98839,Chemistry,P05146,Prof. Johnson,"S91675,S11483,S50531,S80918,S38312,S42525,S64563,S12051,S14882,S96050,S48567,S71016,S60959,S40895,S81589,S88586,S09962,S79657,S27691,S11877,S77445,S28938,S40281",Tuesday,15:00,18,22,21,Thursday-13:00
C22970,Biology,P57813,Prof. Miller,"S13761,S59087,S43185,S35903,S01558,S42115,S61568,S12964,S31758,S00312,S82763",Thursday,13:00,16,35,22,Wednesday-12:00
C32965,Economics,P43975,Prof. Jones,"S22744,S26671,S91767,S29828,S92460,S68622,S46707,S18016,S56864,S08458,S69284,S06248,S85343,S64796,S86564,S79776,S11848,S35195,S02461,S53692,S62899,S70696,S94631,S19119,S48198,S18002,S38121,S80333,S82379",Monday,13:00,18,19,24,Tuesday-14:00
C54646,Chemistry,P78905,Prof. Smith,"S32469,S58430,S89391,S58722,S57343,S62994,S11777,S78892,S58291,S64812,S09988,S90971,S47351,S25302,S60705,S14661,S97259,S50138,S67133,S61988,S60963,S73292,S56449,S01897,S62337,S81018",Thursday,14:00,44,32,21,Thursday-13:00
C43583,History,P66056,Prof. Wilson,"S13868,S05280,S44585,S00063,S03749,S76352,S74634,S91356,S35553,S47868,S77289,S25520,S45579,S97434,S63658,S80080,S74930,S72456,S14493,S77654,S38601,S72156,S48336,S59772",Friday,16:00,47,24,26,Friday-14:00
C36021,Biology,P11257,Prof. Davis,"S97384,S61702,S17769,S38418,S58050,S33736,S41170,S44310,S67806,S18322,S82665,S84402,S17675,S70102",Thursday,13:00,5,21,22,Wednesday-12:00
C39977,Economics,P28850,Prof. Williams,"S27186,S37197,S28331,S41851,S93983,S98497,S26318,S51738,S52037,S16843,S85278,S09876,S60955,S24516,S27914,S10242,S61114,S26510,S34015,S54262",Monday,11:00,37,18,24,Tuesday-14:00
C57117,Chemistry,P46648,Prof. Davis,"S92890,S02171,S50893,S69717,S45753,S44562,S43231,S54146,S42833,S23292,S58941,S12441,S85191,S38203,S22986,S74503,S84942,S88503,S21975,S16959,S42613,S49542,S57678,S63943,S07250,S37873,S26594,S74502,S35148",Friday,13:00,49,21,21,Thursday-13:00
C47514,History,P31056,Prof. Jones,"S21665,S88482,S50679,S80882,S91697,S21838,S67550,S52352,S14964,S69378,S64059,S58824,S58458,S49696,S28925,S34233,S60602,S13013,S18808,S55446,S14677,S81929,S29822,S80355",Monday,13:00,19,19,26,Friday-14:00
C43454,Biology,P89892,Prof. Davis,"S99071,S67357,S06321,S60551,S51416,S84276,S67115,S26184,S06640,S53873",Wednesday,16:00,12,21,22,Wednesday-12:00
C73803,Math,P13836,Prof. Johnson,"S41662,S85548,S40498,S92667,S03313,S33486,S46053,S83089,S20829,S11610,S15113,S24991,S65599,S05182,S90062,S27210,S06461,S18459,S38592,S08795,S29030,S87322,S81529,S30778,S71432,S86625,S80830,S64859",Wednesday,13:00,11,22,29,
C14620,Math,P34133,Prof. Johnson,"S96824,S43840,S81914,S60289,S00304,S43891,S39489,S22312,S02255,S01786,S88594,S27839,S85741,S70367,S75901,S67254,S89100,S86099,S79746,S93349",Tuesday,11:00,28,22,29,
C78680,Biology,P97008,Prof. Johnson,"S21303,S81077,S28862,S49563,S32771,S68266,S31711,S36152,S54195,S56548,S63911,S02888,S78720,S99731,S60673,S90419,S22570,S88852,S50895,S63595,S99657",Monday,16:00,35,22,22,Wednesday-12:00
C29135,CS,P27865,Prof. Jones,"S12492,S03818,S39591,S88258,S70253,S00394,S33485,S06167,S59356,S28532,S14681,S65637,S27002,S07165,S03532,S97621,S20630",Friday,12:00,40,19,17,
C72033,Philosophy,P42180,Prof. Wilson,"S54407,S88664,S54970,S83956,S98128,S01690,S10311,S82736,S84448,S99953,S54570,S61594,S55288,S42536,S40230,S78765,S11886,S21490,S31079,S33330",Wednesday,11:00,10,24,28,Friday-12:00
C20684,Physics,P65405,Prof. Smith,"S69813,S36729,S44537,S18705,S15781,S27828,S03271,S74086,S81573,S54486,S38665,S44204,S13443,S51028,S73986,S26984,S64593,S11912,S18157,S28875,S24697,S58409,S43077,S31644,S49989",Wednesday,11:00,25,32,33,Tuesday-11:00
C04354,Philosophy,P61837,Prof. Jones,"S80609,S43466,S23686,S43716,S61570,S27881,S31558,S93442,S00117,S49664,S62401,S52609,S18519,S21131,S37948,S49027,S85431,S42366,S08995,S21149,S36517,S53190",Thursday,16:00,10,19,28,Friday-12:00
C42303,CS,P55700,Prof. Smith,"S52380,S37710,S50056,S04611,S18301,S11811,S44431,S49904,S49149,S24651,S90046,S83823,S63067,S49079,S18094,S74773,S77733,S13921,S32511,S95150,S96326,S07986",Monday,13:00,39,32,17,
C81388,Math,P62165,Prof. Smith,"S70333,S48791,S14840,S52466,S06432,S37060,S52079,S31010,S82949,S94915,S80378,S24324,S92992,S81020,S78106,S75186,S26235,S13863,S65365,S73612",Thursday,12:00,39,32,29,
C21221,Economics,P82890,Prof. Davis,"S11711,S65395,S14934,S80458,S40549,S38671,S58755,S72120,S76434,S39886,S78317,S70890,S04508,S24296,S95665,S36927,S62427,S36881,S40661,S65971,S83234",Thursday,13:00,11,21,24,Tuesday-14:00
C11480,Physics,P53839,Prof. Wilson,"S04205,S84283,S91841,S05957,S83725,S49200,S20552,S81886,S04397,S58787",Friday,10:00,21,24,33,Tuesday-11:00
C14510,Biology,P04872,Prof. Jones,"S34339,S62298,S49866,S99669,S38681,S46401,S94150,S39463,S44785,S09585,S32804,S58692,S09336,S20201,S06351,S41853,S66221",Tuesday,09:00,14,19,22,Wednesday-12:00
C53995,History,P67977,Prof. Brown,"S76575,S95423,S34679,S62276,S27724,S08193,S29171,S72035,S15635,S41382,S22010,S89091,S09720,S31760,S97006,S04767,S77826,S95563,S59330,S81870,S50554,S07978,S07274,S16118,S23901",Tuesday,15:00,21,29,26,Friday-14:00
C18984,Physics,P41388,Prof. Williams,"S81842,S69048,S13063,S45226,S91121,S09896,S98714,S25274,S41594,S82976,S21283,S13254",Thursday,14:00,44,18,33,Tuesday-11:00
C15834,Philosophy,P35961,Prof. Davis,"S04119,S47325,S79275,S62219,S61490,S98622,S36207,S75994,S12460,S01309,S13496,S41754,S94062,S88602,S41434,S53791,S49318,S42432,S37988,S80573,S84619,S90687,S05829,S57729,S00020,S20907,S33512,S31560",Thursday,12:00,48,21,28,Friday-12:00
C47814,Math,P66729,Prof. Wilson,"S47601,S58275,S42952,S08259,S04881,S73454,S07651,S75567,S09655,S61973,S86408,S37306,S42069,S45254,S37755,S46080,S77992,S73659,S23086,S60046,S05969,S26931",Monday,09:00,11,24,29,
C15340,Math,P91220,Prof. Wilson,"S74383,S73813,S92377,S20668,S59577,S87735,S12290,S69234,S73377,S03032,S66202,S90198,S25614,S57332,S16759,S31318,S70459,S11891,S67727,S55487",Wednesday,09:00,37,24,29,
C97404,Economics,P68819,Prof. Brown,"S51256,S12511,S05610,S00802,S96145,S10265,S51544,S90007,S12703,S66680,S11922,S54298,S08627,S37547,S63625,S52196,S30307,S72399,S86970,S08085,S84568,S85920,S29160,S28342",Tuesday,10:00,34,29,24,Tuesday-14:00
C00247,Math,P49171,Prof. Brown,"S16452,S75503,S59862,S99540,S83536,S95519,S63223,S41396,S96557,S94587,S56588,S54703,S30756,S51537,S04142,S75046,S28453,S42012,S93286,S28069,S49363,S50644",Thursday,15:00,16,29,29,
C02570,Biology,P55530,Prof. Davis,"S42799,S18166,S02793,S07950,S79132,S13795,S57258,S75650,S78812,S13728,S24702,S66145,S43639,S82441,S89520,S63751,S05050,S31094,S01396,S86097,S09307,S80471,S86655,S50382,S75865",Thursday,14:00,23,21,22,Wednesday-12:00
C13910,Philosophy,P48905,Prof. Miller,"S03929,S08556,S40186,S31361,S75569,S72534,S22354,S18534,S40859,S65767,S44217,S22663,S92547,S17625,S75987,S52365,S41059,S25281,S96479,S46535,S81478,S10163,S91828,S21442",Tuesday,10:00,13,35,28,Friday-12:00
C78287,History,P66867,Prof. Smith,"S28888,S98465,S50908,S59063,S45711,S72401,S89031,S98429,S55071,S90805,S04783,S88455,S51049,S78385,S24617,S17717,S24859,S28249,S57351",Wednesday,15:00,32,32,26,Friday-14:00
C51184,Math,P42561,Prof. Johnson,"S39441,S84122,S05018,S15801,S55844,S71157,S08222,S96804,S29362,S55615",Friday,15:00,9,22,29,
C42758,Physics,P31306,Prof. Smith,"S77956,S70434,S93645,S21402,S02325,S95456,S10122,S57638,S31019,S97887,S01024,S15880,S03399,S34106,S28645,S66766,S72477,S93854,S69058,S43384,S00662,S06738",Friday,10:00,48,32,33,Tuesday-11:00
C73725,Physics,P40787,Prof. Jones,"S82044,S22260,S21282,S63519,S36873,S07073,S91212,S48697,S45921,S74694,S12344",Friday,15:00,25,19,33,Tuesday-11:00
C93225,Philosophy,P96353,Prof. Wilson,"S88820,S94492,S07835,S13847,S00952,S76514,S90219,S03798,S62866,S21907,S27103,S74665,S43801,S25085,S40611,S57067,S19626,S92927,S18437,S06209,S76854,S18629,S60708",Thursday,11:00,22,24,28,Friday-12:00
C06251,Economics,P29307,Prof. Smith,"S16789,S40224,S91270,S31906,S60653,S82061,S17150,S13236,S84296,S77247,S20963,S99044,S05554,S34244,S77286,S63766,S36675,S86313,S09576,S04338,S15667,S24586,S19351,S52967,S10233,S54450,S92818",Tuesday,10:00,16,32,24,Tuesday-14:00
C95424,History,P24415,Prof. Wilson,"S26813,S88867,S60843,S15761,S94010,S01695,S27863,S75756,S90437,S78094,S40716,S23173,S75339",Monday,12:00,10,24,26,Friday-14:00
C94289,Economics,P19807,Prof. Brown,"S99377,S77815,S87193,S29679,S80313,S64841,S24119,S31964,S10493,S58383,S75017,S82382,S20371,S59820,S84924,S63624,S46319,S40980,S47147,S75603,S66220,S25861,S21199,S83948",Monday,09:00,28,29,24,Tuesday-14:00
C60961,Economics,P43437,Prof. Brown,"S17880,S77261,S73542,S13874,S93067,S31462,S84671,S50274,S91261,S58207,S54208,S68914,S27375,S35048,S01665",Thursday,12:00,39,29,24,Tuesday-14:00
C68514,Philosophy,P25996,Prof. Smith,"S73186,S70976,S26955,S54385,S89218,S71858,S56623,S70431,S55220,S91545,S72076,S64284,S23343,S10723,S57758,S25835,S15060,S72577,S16510,S21158,S64827,S97881,S41169,S55915,S94087",Wednesday,09:00,21,32,28,Friday-12:00
C43212,Economics,P97172,Prof. Wilson,"S58833,S83401,S68079,S37794,S17948,S91337,S07209,S96332,S67481,S93650,S47337,S63350,S51154,S38335,S34068,S19146,S34604,S91875,S97844,S81088,S89871,S57978",Wednesday,10:00,35,24,24,Tuesday-14:00
C83437,Physics,P31673,Prof. Williams,"S53604,S24485,S95481,S71720,S46013,S63613,S37284,S15662,S81456,S43897,S81231,S17699,S46752,S16229,S17345,S41541,S45312,S35397,S72961,S25318,S45994,S17560",Monday,13:00,27,18,33,Tuesday-11:00
C78943,Philosophy,P68075,Prof. Johnson,"S96704,S87748,S36970,S71991,S15532,S14219,S10381,S96371,S78274,S33889,S39666,S97324,S64506,S04918,S75609,S84710,S56720,S47797,S38508,S83433,S86571,S45598,S74286,S76965,S25029,S10075,S73069",Tuesday,11:00,42,22,28,Friday-12:00
C69922,History,P70502,Prof. Davis,"S45542,S71423,S95347,S54080,S94305,S24908,S18910,S37296,S37922,S23612,S19871,S08893,S27679,S14826,S75073,S61647,S69085,S93034,S99171,S08868,S35631",Tuesday,14:00,48,21,26,Friday-14:00
C30908,Biology,P81335,Prof. Johnson,"S84163,S00466,S86836,S76874,S85279,S97005,S90770,S49474,S17175,S36089,S80271,S46650,S99281,S49674,S50166,S52664,S74297,S83323,S15184",Tuesday,11:00,7,22,22,Wednesday-12:00
C58738,CS,P83171,Prof. Miller,"S80710,S64542,S31953,S79454,S15884,S68505,S26583,S42712,S20388,S44418",Friday,16:00,21,35,17,
C92788,Biology,P05123,Prof. Miller,"S64649,S26700,S06841,S98090,S03626,S73296,S36939,S73907,S80442,S35862,S17556,S01958,S19109,S79615",Tuesday,10:00,21,35,22,Wednesday-12:00
C93787,History,P42806,Prof. Williams,"S58569,S57201,S47362,S91101,S13146,S19233,S65326,S32901,S95991,S97271,S05846,S35761,S55086,S78694,S51918,S17746,S76852,S24590,S20199,S18851,S57921,S71330,S61290,S84103,S84990,S19724,S80709,S03807,S86106,S37274",Monday,16:00,36,18,26,Friday-14:00
C54981,Philosophy,P72274,Prof. Davis,"S08592,S11830,S46706,S09458,S96488,S51619,S65295,S88604,S53965,S62778,S44183,S41977,S16920,S17971,S71713",Friday,12:00,9,21,28,Friday-12:00
C98554,Chemistry,P04763,Prof. Williams,"S86467,S21013,S58205,S48222,S40942,S84756,S27735,S08863,S66139,S48272,S59708,S46171,S40221,S38417,S19018,S14634,S64959,S59509,S45447",Wednesday,13:00,25,18,21,Thursday-13:00
C86972,CS,P80446,Prof. Miller,"S68002,S48750,S54346,S84589,S60553,S48694,S21531,S36026,S00259,S72314,S15471,S86574,S60117,S76586",Friday,16:00,12,35,17,
C90696,History,P56190,Prof. Brown,"S34374,S70249,S55831,S78934,S77446,S67032,S59019,S33097,S51717,S50322,S56449,S29293,S63104,S92985,S67170,S96687,S29902,S29521,S63474,S88864,S15476,S22833,S74649,S31793,S95568,S25927",Friday,16:00,23,29,26,Friday-14:00
C66123,Philosophy,P06004,Prof. Wilson,"S06541,S36999,S57796,S66004,S24163,S46510,S43547,S04673,S61009,S84624,S91055,S34760,S16501,S78098,S98667,S58075,S90538,S46153,S65815,S17790,S53056",Tuesday,09:00,46,24,28,Friday-12:00
C81884,Math,P75525,Prof. Wilson,"S12723,S67524,S72993,S09395,S33875,S86657,S14759,S32738,S13909,S69800,S12784,S10156,S45171,S80792,S87589,S51318,S27111",Wednesday,14:00,25,24,29,
